,案件名,価格,提案・契約数,残り時間,URL,サイト
0,ランディングペ－ジ作成,"コンペ
110,000円","提案
18 件","あと 2 日
（1月2日まで）",https://crowdworks.jp/public/jobs/5991115,クラウドワークス
1,【総額4.5万円】LP制作【デザインのみ】,"コンペ
27,500円","提案
3 件","あと 7 日
（1月7日まで）",https://crowdworks.jp/public/jobs/6013680,クラウドワークス
2,週15時間〜業務OK！《運営サイトのランディングページ(LP)制作をしてくれる方募集！》長期契約！作業時間自由！,"固定報酬制
12円",契約数 2 人 (募集人数 1人),"あと 7 日
（1月7日まで）",https://crowdworks.jp/public/jobs/6003241,クラウドワークス
3,【LP制作】デザインのみの納品希望　継続依頼あり,"固定報酬制
50,000円 〜 100,000円",契約数 0 人 (募集人数 1人),"あと 13 日
（1月13日まで）",https://crowdworks.jp/public/jobs/6016665,クラウドワークス
4,ランディングページ制作,"固定報酬制
5,000円 〜 10,000円",契約数 1 人 (募集人数 1人),"あと 4 日
（1月4日まで）",https://crowdworks.jp/public/jobs/6009661,クラウドワークス
5,【家庭と仕事が両立できる‼完全在宅WEBデザイナー】WEBページ制作/サイト更新・修正/バナー制作◎継続案件,"固定報酬制
12円",契約数 0 人 (募集人数 5人),"あと 8 日
（1月8日まで）",https://crowdworks.jp/public/jobs/6004888,クラウドワークス
6,企業向け若手・新人研修プログラム開催のランディングページの制作,"コンペ
77,000円","提案
10 件","あと 11 日
（1月11日まで）",https://crowdworks.jp/public/jobs/6010980,クラウドワークス
7,【報酬UP★納期相談応じます！継続あり】「男性サプリ」のAmazon商品画像作成のお仕事！ライティングまでできるデ...,"固定報酬制
10,000円 〜 50,000円",契約数 0 人 (募集人数 2人),"あと 3 日
（1月3日まで）",https://crowdworks.jp/public/jobs/5996519,クラウドワークス
8,リフォーム領域のマッチングサイトサイトの構築,"固定報酬制
1,000,000円 〜 5,000,000円",契約数 0 人 (募集人数 1人),"あと 3 日
（1月3日まで）",https://crowdworks.jp/public/jobs/5992942,クラウドワークス
9,学習塾の業務委託運営者を募集するためのLPの制作,"コンペ
55,000円
(+3,000円 )","提案
2 件","あと 20 日
（1月20日まで）",https://crowdworks.jp/public/jobs/6017762,クラウドワークス
10,継続◎　登録されるリスト収集ページと広告バナーの作成,"固定報酬制
10,000円 〜 50,000円",契約数 0 人 (募集人数 2人),"あと 4 日
（1月4日まで）",https://crowdworks.jp/public/jobs/6012502,クラウドワークス
11,食品のランディングページの作成,"固定報酬制
予算はワーカーと相談",契約数 1 人 (募集人数 2人),"あと 6 日
（1月6日まで）",https://crowdworks.jp/public/jobs/6001499,クラウドワークス
12,"NEW
コーディング済サイトの一部修正 (1ページ)","20,000 円 ~ 50,000 円 / 固定",50件,3日間,https://www.lancers.jp/work/detail/3373964,ランサーズ
13,当社製品紹介サイトの作成,"200,000 円 ~ 300,000 円 / 固定",60件,20日間,https://www.lancers.jp/work/detail/3354970,ランサーズ
14,LP制作のご相談ー継続案件の可能性有り,"50,000 円 ~ 100,000 円 / 固定",47件,5日間,https://crowdworks.jp/public/jobs/5984899,ランサーズ
15,"NEW
初回
【WordPress】日本酒を作っている老舗酒造のHP制作(topページのみ)","固定報酬制
50,000円 〜 100,000円",契約数 0 人 (募集人数 1人),"あと 20 時間
（12月31日まで）",https://www.lancers.jp/work/detail/3372769,クラウドワークス
16,"NEW
2回目
PR
営業代行企業のLP制作者募集","50,000 円 ~ 100,000 円 / 固定",26件,4日間,https://www.lancers.jp/work/detail/3373718,ランサーズ
17,Shopify　（ショップサイト）　5ページ程度の作成お願いします。　（商品ページの改善は基本なし　2ページの整形程度,"50,000 円 ~ 100,000 円 / 固定",38件,5日間,https://www.lancers.jp/work/detail/3376716,ランサーズ
18,"NEW
ホームページのコーディング(レスポンシブ)","100,000 円 ~ 200,000 円 / 固定",38件,7日間,https://crowdworks.jp/public/jobs/6011055,ランサーズ
19,"2回目
教育ファームを軸とする農家のホームページ制作","300,000 円 ~ 500,000 円 / 固定",60件,15日間,https://www.lancers.jp/work/detail/3368500,ランサーズ
20,"2回目
新規小児科クリニックのホームページ作成","固定報酬制
100,000円 〜 300,000円",40件,19日間,https://www.lancers.jp/work/detail/3365032,ランサーズ
21,【再依頼】食肉加工卸売の会社のコーポレートサイトリニューアル,"300,000 円 ~ 500,000 円 / 固定",26件,4日間,https://www.lancers.jp/work/detail/3346313,ランサーズ
22,"NEW
2回目
営業代行企業のLP制作者募集","50,000 円 ~ 100,000 円 / 固定",37件,5日間,https://www.lancers.jp/work/detail/3373718,ランサーズ
23,"NEW
WordPressによる学習塾HPの作成（新規全17ページ／1月末納品希望）","200,000 円 ~ 300,000 円 / 固定",契約数 0 人 (募集人数 1人),7日間,https://www.lancers.jp/work/detail/3373383,ランサーズ
24,既存WIXサイトのブラッシュアップ,"50,000 円 ~ 100,000 円 / 固定",16件,"あと 11 日
（1月11日まで）",https://www.lancers.jp/work/detail/3367381,クラウドワークス
25,"NEW
3回目
急募
テンプレートを用いたWordPressでのHP制作","50,000 円 ~ 100,000 円 / 固定",15件,6日間,https://www.lancers.jp/work/detail/3373662,ランサーズ
26,"建築デザイン会社HPのHTML,CSS,JSコーディング","20,000 円 ~ 50,000 円 / 固定",27件,5日間,https://www.lancers.jp/work/detail/3371032,ランサーズ
27,"NEW
XDで起こしたデザインをWordPressにて構築していただける方(コーディングのみ)","100,000 円 ~ 200,000 円 / 固定",26件,7日間,https://www.lancers.jp/work/detail/3375867,ランサーズ
28,"初回
女性向けセレクトショップのホームページ作成","300,000 円 ~ 500,000 円 / 固定",33件,7日間,https://www.lancers.jp/work/detail/3370304,ランサーズ
29,"NEW
急募
LPコーディング作業2件【デザイン支給・ひとつは納期1/4】","50,000 円 ~ 100,000 円 / 固定",32件,1日間,https://www.lancers.jp/work/detail/3374893,ランサーズ
30,"NEW
初回
ロボット・プログラミング教室のランディングページ制作者様募集【フルリモートOK】","50,000 円 ~ 100,000 円 / 固定",13件,7日間,https://www.lancers.jp/work/detail/3374000,ランサーズ
